CustomerID,Age,Gender,Tenure,MonthlyCharges,ContractType,InternetService,TotalCharges,TechSupport,Churn
30,42,Male,62,97.66,Two-Year,Fiber Optic,6054.92,Yes,No
536,45,Female,21,102.76,One-Year,Fiber Optic,2157.96,Yes,Yes
696,41,Male,32,49.0,One-Year,Fiber Optic,1568.0,Yes,No
558,40,Female,50,114.46,Month-to-Month,,5723.0,No,Yes
837,60,Female,53,89.57,Month-to-Month,Fiber Optic,4747.21,Yes,Yes
597,42,Female,29,90.97,One-Year,Fiber Optic,2638.13,No,Yes
166,49,Female,42,44.06,One-Year,DSL,1850.52,Yes,No
919,40,Female,5,87.4,Month-to-Month,,437.0,No,Yes
496,50,Female,79,36.05,Two-Year,Fiber Optic,2847.95,Yes,No
825,40,Female,6,56.4,Month-to-Month,DSL,338.4,No,Yes
66,58,Male,10,54.48,One-Year,DSL,544.8,Yes,Yes
142,58,Female,8,83.72,One-Year,,669.76,No,Yes
926,29,Female,3,85.23,Month-to-Month,,255.69,No,Yes
828,39,Male,12,111.02,Month-to-Month,,1332.24,No,Yes
656,45,Male,23,105.15,Month-to-Month,DSL,2418.4500000000003,Yes,Yes
332,36,Female,23,108.36,One-Year,Fiber Optic,2492.28,Yes,Yes
665,37,Male,4,81.66,One-Year,Fiber Optic,326.64,Yes,Yes
250,49,Female,13,43.94,Two-Year,DSL,571.22,Yes,No
908,52,Male,39,116.71,One-Year,Fiber Optic,4551.69,Yes,Yes
709,24,Male,16,43.43,Two-Year,DSL,694.88,Yes,No
306,46,Male,1,81.38,One-Year,Fiber Optic,81.38,Yes,Yes
735,55,Male,4,90.41,Month-to-Month,Fiber Optic,361.64,Yes,Yes
976,26,Male,0,115.91,Month-to-Month,,0.0,No,Yes
50,27,Male,22,94.48,Month-to-Month,Fiber Optic,2078.56,Yes,Yes
897,43,Female,61,75.0,One-Year,,4575.0,No,Yes
3,51,Female,2,63.79,Month-to-Month,Fiber Optic,127.58,No,Yes
545,20,Male,9,77.84,Two-Year,Fiber Optic,700.5600000000001,No,Yes
351,48,Male,62,73.85,One-Year,DSL,4578.7,No,Yes
905,46,Female,16,106.5,Month-to-Month,,1704.0,No,Yes
537,36,Female,2,104.13,One-Year,,208.26,No,Yes
345,40,Female,7,51.43,Two-Year,Fiber Optic,360.01,No,Yes
995,34,Female,1,78.63,Month-to-Month,DSL,78.63,No,Yes
482,35,Male,3,80.99,Month-to-Month,DSL,242.97,Yes,Yes
576,22,Male,58,46.36,Month-to-Month,DSL,2688.88,Yes,Yes
34,34,Female,1,90.4,Two-Year,Fiber Optic,90.4,Yes,Yes
32,63,Female,0,76.62,Two-Year,DSL,0.0,Yes,Yes
232,47,Male,63,98.34,Two-Year,DSL,6195.42,No,Yes
964,52,Male,45,66.06,Two-Year,DSL,2972.7000000000003,Yes,No
193,47,Male,17,32.86,One-Year,Fiber Optic,558.62,Yes,No
334,38,Male,9,86.46,One-Year,DSL,778.14,Yes,Yes
4,60,Female,8,102.34,One-Year,DSL,818.72,Yes,Yes
205,31,Female,35,55.79,One-Year,Fiber Optic,1952.65,Yes,No
515,39,Female,5,92.28,Month-to-Month,DSL,461.4,No,Yes
800,45,Female,22,71.88,Month-to-Month,,1581.36,No,Yes
307,57,Male,27,46.67,Two-Year,DSL,1260.09,Yes,No
110,44,Male,18,102.6,One-Year,,1846.8,No,Yes
431,33,Female,1,35.56,Two-Year,DSL,35.56,Yes,Yes
78,42,Female,11,89.58,Month-to-Month,,985.38,No,Yes
85,36,Male,34,63.15,Month-to-Month,DSL,2147.1,Yes,Yes
287,43,Female,13,62.53,One-Year,,812.89,No,Yes
83,59,Male,11,37.95,Month-to-Month,,417.4500000000001,No,Yes
992,24,Male,32,81.93,Month-to-Month,Fiber Optic,2621.76,Yes,Yes
790,28,Female,22,35.39,One-Year,Fiber Optic,778.58,Yes,No
895,58,Male,7,97.81,Month-to-Month,Fiber Optic,684.6700000000001,Yes,Yes
399,43,Male,66,61.06,Month-to-Month,,4029.96,No,Yes
324,65,Female,7,45.76,Two-Year,DSL,320.32,No,Yes
520,52,Female,29,81.99,Two-Year,DSL,2377.71,Yes,No
917,51,Male,3,78.99,Month-to-Month,Fiber Optic,236.97,Yes,Yes
923,46,Female,25,92.04,Month-to-Month,Fiber Optic,2301.0,No,Yes
6,42,Female,16,119.75,Two-Year,DSL,1916.0,Yes,Yes
732,35,Female,20,44.07,Month-to-Month,DSL,881.4,No,Yes
466,42,Female,0,96.14,Two-Year,,0.0,No,Yes
98,47,Female,3,59.28,Month-to-Month,Fiber Optic,177.84,Yes,Yes
267,61,Female,1,35.13,Two-Year,DSL,35.13,Yes,Yes
