iter	Passed	Remaining
0	146	146207
1	148	73897
2	149	49779
3	151	37666
4	152	30388
5	154	25561
6	155	22101
7	157	19537
8	159	17537
9	160	15925
10	162	14638
11	164	13565
12	166	12659
13	168	11884
14	170	11211
15	172	10624
16	174	10113
17	177	9665
18	179	9267
19	181	8905
20	184	8588
21	186	8312
22	189	8059
23	192	7825
24	194	7571
25	196	7373
26	199	7185
27	201	7006
28	204	6840
29	205	6651
30	207	6475
31	209	6336
32	211	6207
33	213	6060
34	215	5942
35	217	5832
36	220	5728
37	222	5627
38	224	5531
39	226	5440
40	228	5356
41	231	5274
42	233	5198
43	235	5126
44	238	5057
45	240	4990
46	242	4927
47	245	4867
48	247	4807
49	249	4749
50	252	4694
51	254	4630
52	256	4579
53	258	4531
54	260	4484
55	263	4444
56	265	4400
57	268	4356
58	270	4313
59	272	4263
60	274	4225
61	276	4186
62	279	4153
63	281	4121
64	284	4089
65	286	4056
66	289	4024
67	291	3992
68	293	3957
69	296	3936
70	298	3909
71	301	3881
72	303	3853
73	305	3826
74	308	3801
75	310	3780
76	313	3756
77	315	3732
78	318	3709
79	320	3686
80	322	3661
81	325	3641
82	327	3619
83	329	3598
84	332	3577
85	334	3557
86	337	3537
87	339	3518
88	341	3500
89	344	3484
90	346	3465
91	349	3447
92	351	3429
93	354	3412
94	356	3396
95	358	3379
96	360	3358
97	363	3342
98	365	3326
99	367	3310
100	369	3287
101	371	3273
102	374	3258
103	376	3245
104	379	3231
105	381	3218
106	384	3205
107	389	3218
108	392	3205
109	394	3192
110	397	3180
111	399	3167
112	402	3158
113	404	3146
114	407	3135
115	409	3122
116	412	3110
117	414	3098
118	417	3087
119	419	3075
120	421	3063
121	424	3052
122	426	3041
123	429	3030
124	430	3016
125	433	3006
126	435	2996
127	438	2986
128	440	2975
129	443	2965
130	445	2956
131	448	2947
132	450	2937
133	453	2928
134	455	2919
135	458	2909
136	460	2900
137	463	2893
138	464	2879
139	467	2870
140	469	2862
141	472	2853
142	474	2844
143	477	2837
144	479	2829
145	482	2822
146	484	2814
147	487	2806
148	489	2798
149	492	2790
150	494	2781
151	497	2774
152	499	2767
153	502	2760
154	504	2749
155	507	2743
156	509	2736
157	512	2729
158	514	2721
159	517	2714
160	519	2707
161	521	2700
162	524	2692
163	526	2685
164	529	2677
165	531	2669
166	533	2661
167	535	2653
168	538	2646
169	540	2640
170	543	2634
171	545	2627
172	548	2620
173	550	2613
174	552	2606
175	555	2599
176	557	2592
177	560	2586
178	562	2579
179	564	2573
180	567	2567
181	569	2561
182	572	2555
183	574	2549
184	577	2543
185	579	2536
186	582	2530
187	584	2526
188	587	2519
189	589	2513
190	591	2504
191	593	2497
192	596	2492
193	598	2487
194	601	2482
195	603	2477
196	606	2472
197	609	2467
198	611	2462
199	614	2459
200	616	2450
201	619	2445
202	621	2440
203	624	2435
204	626	2430
205	629	2426
206	631	2421
207	634	2416
208	637	2410
209	639	2405
210	641	2400
211	644	2396
212	647	2392
213	650	2389
214	652	2384
215	655	2379
216	657	2373
217	660	2368
218	662	2363
219	664	2356
220	667	2351
221	669	2346
222	672	2341
223	674	2337
224	677	2333
225	680	2329
226	682	2325
227	685	2321
228	688	2317
229	691	2313
230	693	2309
231	696	2304
232	698	2300
233	701	2295
234	704	2291
235	706	2287
236	709	2283
237	711	2278
238	714	2273
239	716	2269
240	719	2264
241	721	2260
242	724	2255
243	726	2250
244	728	2246
245	731	2241
246	733	2237
247	736	2233
248	738	2228
249	741	2223
250	743	2219
251	746	2214
252	748	2209
253	750	2204
254	752	2198
255	754	2193
256	756	2188
257	759	2184
258	761	2180
259	764	2175
260	767	2172
